               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.038188,            0.021736,           0.0038868,             0.50374,             0.86057,             0.63256,             0.30847,            0.049771,            0.010103,           0.0017627,           0.0071465,           0.0071465,           0.0071465
                  51,            0.044505,            0.022215,           0.0040197,             0.69475,             0.87458,             0.80681,             0.46668,            0.045539,           0.0092473,           0.0016798,           0.0070882,           0.0070882,           0.0070882
                  52,            0.039104,            0.021645,           0.0055255,             0.72968,             0.78461,              0.8071,             0.51651,            0.043829,           0.0097386,           0.0015822,             0.00703,             0.00703,             0.00703
                  53,            0.041972,            0.021062,           0.0041548,             0.83673,             0.91172,             0.90441,             0.50475,            0.050631,           0.0091091,           0.0017165,           0.0069718,           0.0069718,           0.0069718
                  54,            0.046809,            0.019453,           0.0038531,             0.75939,             0.76426,             0.85631,             0.49434,            0.041828,           0.0093613,           0.0017963,           0.0069135,           0.0069135,           0.0069135
                  55,            0.038472,            0.021339,           0.0033567,              0.8378,             0.89646,             0.89138,             0.47123,            0.050262,            0.008901,           0.0019995,           0.0068553,           0.0068553,           0.0068553
                  56,             0.04487,            0.021522,           0.0039527,             0.63974,             0.84096,              0.7938,             0.44827,            0.048602,           0.0092561,           0.0020286,           0.0067971,           0.0067971,           0.0067971
                  57,            0.040596,            0.019357,           0.0034392,             0.86106,             0.81903,             0.91381,             0.51693,            0.041539,           0.0093368,           0.0021707,           0.0067388,           0.0067388,           0.0067388
                  58,            0.038284,            0.021742,           0.0039378,             0.69645,             0.80423,             0.81058,             0.42634,            0.044677,           0.0096204,           0.0020054,           0.0066806,           0.0066806,           0.0066806
                  59,            0.043988,            0.019202,           0.0026407,             0.93887,             0.76509,             0.90992,             0.51683,             0.04123,           0.0094521,           0.0021461,           0.0066224,           0.0066224,           0.0066224
                  60,            0.040726,            0.025868,            0.003143,              0.8915,             0.80423,             0.90055,             0.54792,            0.043044,           0.0096061,           0.0020793,           0.0065641,           0.0065641,           0.0065641
                  61,             0.03966,            0.022104,           0.0026314,             0.85084,              0.8185,             0.89943,             0.53559,            0.045715,           0.0096726,           0.0019211,           0.0065059,           0.0065059,           0.0065059
                  62,            0.044734,            0.023733,           0.0023718,             0.82669,             0.79363,             0.88993,             0.54623,            0.039064,           0.0099266,           0.0019077,           0.0064476,           0.0064476,           0.0064476
                  63,            0.039293,             0.01753,           0.0054532,             0.89619,             0.85015,             0.90703,             0.55116,            0.041286,           0.0097374,           0.0020426,           0.0063894,           0.0063894,           0.0063894
                  64,            0.038206,            0.017563,           0.0026421,             0.80252,             0.89101,             0.89399,             0.53584,            0.040629,            0.010169,           0.0021266,           0.0063312,           0.0063312,           0.0063312
                  65,            0.039896,             0.01993,           0.0023267,             0.72101,             0.78749,             0.80776,             0.48446,            0.041128,            0.010196,           0.0019708,           0.0062729,           0.0062729,           0.0062729
                  66,            0.037911,            0.023822,           0.0026948,             0.67344,             0.89384,             0.82624,             0.47599,            0.042198,            0.010496,           0.0019093,           0.0062147,           0.0062147,           0.0062147
                  67,            0.035651,            0.020492,           0.0025116,              0.7948,             0.84857,              0.8539,             0.50644,            0.037389,            0.010809,           0.0020112,           0.0061565,           0.0061565,           0.0061565
